epoch,accuracy,loss,val_accuracy,val_loss
0,0.4795713424682617,1.271266222000122,0.49921995401382446,1.0075889825820923
1,0.5280196666717529,0.9498598575592041,0.5429016947746277,0.9496371150016785
2,0.5970082879066467,0.8532090783119202,0.6575663089752197,0.809409499168396
3,0.6416611075401306,0.7713897228240967,0.6918876767158508,0.7249037623405457
4,0.6959142684936523,0.6833122968673706,0.7363494634628296,0.6421346664428711
5,0.7412368655204773,0.596246600151062,0.722308874130249,0.5918412208557129
6,0.7834337949752808,0.511398196220398,0.8096724152565002,0.4540711045265198
7,0.8204956650733948,0.4427143633365631,0.8330733180046082,0.41921529173851013
8,0.8443849086761475,0.39969968795776367,0.8494539856910706,0.3704494833946228
9,0.8727394342422485,0.32181113958358765,0.9017160534858704,0.27012863755226135
10,0.8827863335609436,0.29943767189979553,0.8861154317855835,0.28519928455352783
11,0.8972985148429871,0.2608424127101898,0.9243369698524475,0.23973849415779114
12,0.9252065420150757,0.20678220689296722,0.9422776699066162,0.18955637514591217
13,0.9278857111930847,0.19270288944244385,0.8892355561256409,0.2612167000770569
14,0.9381558299064636,0.16943706572055817,0.9305772185325623,0.17426303029060364
15,0.9517749547958374,0.12388298660516739,0.961778461933136,0.1230793446302414
16,0.9551239013671875,0.11962923407554626,0.9734789133071899,0.10317299515008926
17,0.9636079668998718,0.10428223758935928,0.961778461933136,0.12091570347547531
18,0.9573565721511841,0.11218409240245819,0.9656786322593689,0.0930870771408081
19,0.969636082649231,0.0892210304737091,0.9563182592391968,0.12098853290081024
20,0.9711989164352417,0.0829056054353714,0.9711388349533081,0.08567636460065842
21,0.9698593616485596,0.07873015105724335,0.9726989269256592,0.089267797768116
22,0.979682981967926,0.061228394508361816,0.9726989269256592,0.08104036748409271
23,0.9725385308265686,0.07382474094629288,0.9773790836334229,0.06989340484142303
24,0.9781200885772705,0.06500054150819778,0.9609984159469604,0.0949273332953453
25,0.974994421005249,0.06801733374595642,0.9812792539596558,0.05091609060764313
26,0.9841482639312744,0.04752698168158531,0.9672386646270752,0.08909833431243896
27,0.9832552075386047,0.047480739653110504,0.9797191619873047,0.056073203682899475
28,0.9814690947532654,0.05328464135527611,0.9820592999458313,0.05596494674682617
29,0.9868274331092834,0.04045283794403076,0.9804992079734802,0.0553889162838459
30,0.9845947623252869,0.046227943152189255,0.9781591296195984,0.061035752296447754
31,0.9834784269332886,0.04855800047516823,0.9797191619873047,0.060413796454668045
32,0.9863808751106262,0.03934803977608681,0.9742589592933655,0.07296843826770782
33,0.9834784269332886,0.04348404332995415,0.9758190512657166,0.08519747853279114
34,0.9908461570739746,0.029647938907146454,0.9851794242858887,0.0590222030878067
35,0.9895066022872925,0.0289017166942358,0.9843993782997131,0.05227776616811752
36,0.9794597029685974,0.06706343591213226,0.9812792539596558,0.05529695376753807
37,0.9845947623252869,0.050118234008550644,0.988299548625946,0.049582187086343765
38,0.9890600442886353,0.03381729498505592,0.9890795350074768,0.03909701853990555
39,0.9903996586799622,0.026023317128419876,0.9836193323135376,0.04698732867836952
40,0.987943708896637,0.03761855512857437,0.9890795350074768,0.04509854316711426
41,0.9915159344673157,0.02593822218477726,0.988299548625946,0.04142782837152481
42,0.9908461570739746,0.027401216328144073,0.9890795350074768,0.04112965241074562
43,0.9872739315032959,0.037740424275398254,0.988299548625946,0.03929300233721733
44,0.9899531006813049,0.02784738317131996,0.9843993782997131,0.048743803054094315
45,0.992632269859314,0.020800726488232613,0.988299548625946,0.045383520424366
46,0.9912927150726318,0.023358285427093506,0.9773790836334229,0.05822759121656418
47,0.9919624924659729,0.02388916350901127,0.9859594106674194,0.05955718457698822
48,0.9908461570739746,0.025452010333538055,0.9875195026397705,0.042780667543411255
49,0.9935253262519836,0.023617282509803772,0.9890795350074768,0.037703562527894974
50,0.9924089908599854,0.02399282529950142,0.9797191619873047,0.06948951631784439
51,0.9919624924659729,0.020815666764974594,0.9898595809936523,0.04988165199756622
52,0.9921857714653015,0.023854030296206474,0.9758190512657166,0.07276453822851181
53,0.9915159344673157,0.02685699611902237,0.9820592999458313,0.0644405260682106
54,0.9837017059326172,0.040086932480335236,0.986739456653595,0.04905986413359642
55,0.9946416616439819,0.01919221505522728,0.9906396269798279,0.03980446234345436
56,0.9946416616439819,0.016261421144008636,0.9851794242858887,0.05233518406748772
57,0.9962044954299927,0.012465319596230984,0.9906396269798279,0.04157108813524246
58,0.9950881600379944,0.014339868910610676,0.9836193323135376,0.061227671802043915
59,0.9870506525039673,0.0343642495572567,0.9836193323135376,0.054251547902822495
60,0.9912927150726318,0.02811462990939617,0.9836193323135376,0.061787258833646774
61,0.9877204895019531,0.03753640875220299,0.9836193323135376,0.04767341911792755
62,0.9845947623252869,0.039668671786785126,0.9851794242858887,0.05844389274716377
63,0.9930788278579712,0.020227914676070213,0.9914196729660034,0.039188895374536514
64,0.9924089908599854,0.019263600930571556,0.9875195026397705,0.0473361536860466
65,0.9917392134666443,0.019563032314181328,0.9906396269798279,0.052399009466171265
66,0.9957579970359802,0.01356465183198452,0.9828392863273621,0.05670115351676941
67,0.9964277744293213,0.011090021580457687,0.988299548625946,0.04522515460848808
68,0.9966510534286499,0.00937566440552473,0.9906396269798279,0.035039130598306656
69,0.9962044954299927,0.011974911205470562,0.9851794242858887,0.05336243659257889
70,0.9968742728233337,0.011628004722297192,0.9929797053337097,0.033267419785261154
